Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Anthracene,32.650,577109,,62836,,32.651,29486,,,,32.644,3906,,25911,,32.649,4354,,25037,,33.027,2716,,1268,,32.651,3110,,7263,,32.664,2093,,,,32.339,5617,,913,,32.906,481,,121,,32.337,5499,,888,
Pentadecanoic acid,32.962,24429,,2215,13678,32.861,2352328,,1381925,1002180,32.885,3527062,,2229489,1513475,32.897,3679326,,1609276,1565559,32.854,2401698,,1502012,1038164,32.854,2404365,,1478531,1027593,32.779,44934,,22114,21477,32.780,141962,,69916,58025,32.784,157871,,84376,65256,32.775,68580,,35538,33820
Diisobutyl phthalate,33.135,798912,,5217,,33.149,10377528,,67075,,33.149,4893202,,29814,,33.148,5346315,,32910,,33.145,5026948,,30122,,33.145,4986363,,29421,,33.132,749996,,5024,,33.132,428930,,3174,,33.137,483508,,3383,,33.130,475239,,3340,
Nonadecane  (n-C19),33.328,4342,,8390,,33.332,501014,,750956,,33.329,404208,,717131,,33.331,472304,,807998,,33.335,618753,,1150212,,33.335,655236,,1143782,,33.322,31964,,54618,,33.326,28782,,49174,,33.320,36787,,57981,,33.317,52530,,84086,
Dinonacyl amine (?),33.341,81,,,,33.745,1305404,,6080,,33.878,236694,,2913,,33.327,52457,,715,,33.606,4091114,,62533,,33.606,3791702,,51392,,33.945,151765,,1552,,34.092,104459,,203,,34.096,120058,,263,,33.845,343413,,3354,
Aspirin,33.890,22,,,,33.884,51716,,22678,,33.885,909869,,352725,,33.886,968382,,375789,,33.884,1166633,,451936,,33.884,1162905,,445828,,33.874,3953,,1663,,33.871,76793,,30762,,33.872,82288,,33957,,33.866,102600,,42578,
Caffeine,34.226,3038,,12106,,34.474,1110958,,14557,,34.183,99680,,13296,,34.185,98978,,72408,,34.175,12699,,,,34.179,12219,,,,34.176,5157,,1177,,34.163,7437,,5649,,34.177,9693,,7628,,34.212,1797,,6534,
n-Hexadecanoic acid,34.816,55254,,32930,22475,35.230,81358056,,51718304,39163325,35.328,119867277,,74529655,57360570,35.381,285435,,68315928,67453403,35.114,39826779,,25258342,19097887,35.114,39695393,,25250584,18753122,34.898,3979404,,1822902,1797737,34.973,13569395,,6306792,6389162,34.980,14886330,,6877923,7141135,34.872,2542170,,1144274,1146194
C1-Phenanthrenes,35.436,243045,,33844,,34.979,151276,,,,34.973,29917,,,,34.971,33991,,,,34.979,18204,,,,34.972,17843,,,,34.969,11624,,,,34.973,5266,,6523,,34.980,6381,,4613,,34.977,2108,,,
"2,4-Dibromodiphenyl ether (BDE 7)",35.134,73632,,37401,,35.179,2085,,2275,,35.386,7773,,700,,35.388,177,,1314,,35.104,398,,972,,35.091,669,,1532,,35.165,52,,31,,34.959,521,,332,,34.963,533,,193,,34.876,119,,95,
