Compound Method,YF2,,,Qualifier 1 Results,Qualifier 2 Results,YF2,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,YF2_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.377,160,,204,,47.480,12,,,,47.463,208452,,37142,,47.417,2,,3,
Heptacosane (n-C27),47.279,1310763,,2168172,,47.280,1357336,,2140741,,47.263,3912,,6416,,47.258,111457,,173282,
Di-n-octyl phthalate,48.234,1404015,,,,48.232,1310647,,,,48.215,1643264,,19841,5157,48.217,110928,,,
Octacosane (n-C28),48.749,2853498,,3812356,,48.754,2491993,,3681110,,48.730,126202,,197824,,48.719,200190,,286275,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.838,7213,,5056,5450,48.839,7143,,5000,5047,48.822,143469,,106283,103465,48.817,640,,,351
Squalene,49.007,9401166,,3555246,3656970,49.008,9259853,,3534948,3600090,49.066,10517794,,2528153,7439386,48.976,952188,,292471,326133
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",48.838,7158,,5055,5407,48.839,7072,,5210,5195,49.157,193914,,70625,67869,48.817,634,,,349
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.786,45595,,21628,21773,49.791,44741,,20848,21960,49.767,177504,,80877,79201,49.762,3741,,1877,1684
Nonacosane (n-C29),50.163,2390798,,3926475,,50.164,2377253,,3920566,,50.143,5892,,9103,,50.138,190779,,254814,
Benzo(b)fluoranthene,50.403,50618,,4104,,50.408,50227,,4005,,50.387,630065,,55802,,50.389,3828,,30,
Benzo(k)fluoranthenene,50.502,15807,,1728,,50.496,9088,,1299,,50.482,639344,,66507,,50.389,3808,,58,
Dinonyl phthalate,51.017,1413829,,9143,,51.018,1393709,,8631,,50.994,1587346,,19068,,50.996,106647,,543,
Benzo(e)pyrene,51.549,34947,,2373,,51.540,34377,,2669,,51.526,658601,,52999,,51.535,2814,,169,
Triacontane (n-C30),51.535,1397261,,2223784,,51.530,1653715,,2346880,,51.506,127683,,199178,,51.511,121710,,186095,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.989,3323,,1628,1364,51.980,3028,,1531,1264,51.407,139688,,116945,89726,51.260,15,,5,20
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.583,1506,,509,746,51.594,1151,,398,704,51.563,175947,,74782,73171,51.586,41,,,
Piperine,51.766,22543,,,,51.760,24090,,10325,,52.007,4532,,327,,51.745,2200,,,
Benzo[a]pyrene,51.803,33152,,3191,,51.801,31770,,3562,,51.780,564545,,55982,,51.809,2564,,163,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.989,3325,,1631,1365,51.980,3020,,1537,1302,51.953,179647,,88348,64964,51.958,283,,87,79
Perylene,52.138,8881,,12539,,52.133,7374,,12931,,52.129,618279,,63664,,52.138,617,,96,
beta-Tocopherol,52.857,36853,,281,,52.868,26906,,2111,,52.915,2677,,6,,52.863,1488,,31,
