Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Dinonyl phthalate,50.994,1035020,,14078,,51.019,119,,25,,51.002,236,,8,,51.579,162,,35,
Benzo(e)pyrene,51.526,418640,,30874,,51.632,16,,32,,51.972,19,,12,,51.382,20,,23,
Triacontane (n-C30),51.509,82228,,135444,,51.853,36770,,36822,,51.396,8109,,,,51.938,12890,,4218,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.408,98186,,77124,57404,51.585,7,,17,11,51.402,8,,12,,51.680,6,,4,
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.567,113309,,51001,52579,51.229,6,,8,24,51.626,5,,8,,51.599,4,,7,
Piperine,52.001,1909,,18,,51.842,120,,,,52.056,62,,62,,51.901,42,,33,
Benzo[a]pyrene,51.780,329346,,32133,,51.714,35,,36,,51.911,80,,37,,52.107,35,,18,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.950,124162,,56521,42141,51.937,5,,6,29,51.907,9,,,13,52.043,6,,3,9
Perylene,52.123,375413,,35935,,52.259,101,,83,,52.141,54,,37,,52.107,34,,19,
beta-Tocopherol,51.980,523,,6,,52.713,616,,39,,52.694,215,,16,,52.728,504,,7,
Hentriacontane (n-C31),52.851,407,,2282,,53.147,7826,,14982,,52.565,1753,,395,,52.877,1150,,,
Methyl Dipentadecyl amine (?),53.014,142,,23,,52.984,67,,,,53.012,146,,8,,53.009,56,,9,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.329,118280,,40188,29800,53.588,35,,62,20,53.354,10,,,4,53.371,3,,,4
Dotriacontane (n-C32),54.122,81432,,130941,,54.408,108729,,143397,,54.713,1372,,9561,,53.748,656,,4188,
Dihexdecyl amine (?),54.309,30,,15,,54.316,122,,18,,54.219,26,,15,,54.368,26,,8,
Vitamin E (or tocopherol isomer),54.258,373,,36,,54.276,88,,2810,,54.307,28,,1438,,54.344,20,,,
Cholesterol,54.322,20,,,,54.326,53359,,90623,,54.354,50162,,75242,,54.381,25063,,75435,
Lathosterol,55.163,139,,,,55.208,17283,,113715,,55.195,16764,,113871,,55.188,16591,,115669,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.156,96139,,38450,29959,55.194,26,,31,54,55.323,3,,,10,55.195,42,,66,
Tritriacontane (n-C33),55.898,580,,,,55.272,7382,,8329,,55.489,1616,,,,55.188,2995,,8920,
Methyl dihexdecyl amine (?),55.708,31,,3,,55.655,67,,40,,55.544,177,,85,,55.547,68,,,
"Cholesta-3,5-dien-7-one",55.712,22,,,,55.658,847,,226,,55.639,580,,182,,55.622,318,,70,
"Indeno(1,2,3-cd)pyrene",56.206,439634,,83528,,56.150,25,,23,,56.211,123,,33,,56.147,65,,26,
Cholest-4-en-3-one,56.742,2630,,1144,,56.248,521,,675,,56.093,614,,5536,,56.164,1344,,,
Tetratriacontane (n-C34),56.755,74751,,111241,,56.956,11232,,6999,,57.045,496,,3201,,57.038,3940,,349,
beta-Sitosterol,56.952,31,,17,,56.977,19242,,,,57.011,51604,,37048,,57.052,25089,,61541,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.932,62228,,60090,28957,56.892,42,,23,10,56.811,6,,50,5,56.909,13,,3,
Diheptadecyl amine (?),56.949,709,,20,,56.963,38,,11,,56.892,55,,16,,57.021,32,,13,
"Benzo[g,h,i]perylene",57.294,384582,,57069,,57.509,21,,30,,57.238,16,,27,,57.350,47,,,
Pentatriacontane (n-C35),58.223,488,,,,58.441,376,,,,58.112,296,,,,58.329,115,,747,
Methyl diheptadecyl amine (?),58.568,3117,,172,,58.556,3827,,111,,58.546,3371,,161,,58.580,4033,,30,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.890,44133,,40056,17157,59.959,32,,22,21,59.919,10,,12,,59.898,11,,13,
Hexatriacontane (n-C36),60.290,64522,,99686,,60.881,507839,,739813,,60.315,545,,447,,60.353,117,,266,
Dioctadecyl amine (?),60.598,25,,,,60.525,58,,92,,60.708,36,,9,,60.593,36,,,
Methyl dioctadecyl amine (?),62.822,2190,,87,,62.846,13676,,292,,62.840,8983,,110,,62.810,11323,,50,
Naphthalene-D8,16.488,489376,,49917,,16.513,26,,14,,16.442,15,,,,16.439,41,,24,
Acenaphthene-D10,24.869,336134,,435073,,24.904,45,,18,,24.898,8,,17,,24.891,13,,21,
Phenanthrene-D10,32.220,623281,,67539,,32.234,67,,10,,32.235,33,,28,,32.238,94,,,
Benz(a)anthracene-D12,45.233,691324,,166665,,45.292,65,,,,45.211,77,,11,,45.211,25,,10,
Perylene-D12,52.007,386629,,91378,,51.998,23,,,,52.070,14,,,,51.985,15,,,
